mean,svm__C,myown__num_clusters,svm__gamma
0.28038194444444442,0.25,2048,0.25
0.23350694444444445,0.25,2048,0.5
0.2092013888888889,0.25,2048,1
0.17534722222222221,0.25,2048,2
0.17274305555555555,0.25,2048,4
0.30208333333333331,0.5,2048,0.25
0.24652777777777779,0.5,2048,0.5
0.21006944444444445,0.5,2048,1
0.18055555555555555,0.5,2048,2
0.1875,0.5,2048,4
0.32118055555555558,1,2048,0.25
0.28211805555555558,1,2048,0.5
0.24479166666666666,1,2048,1
0.21180555555555555,1,2048,2
0.19444444444444445,1,2048,4
0.32291666666666669,2,2048,0.25
0.30034722222222221,2,2048,0.5
0.25694444444444442,2,2048,1
0.20399305555555555,2,2048,2
0.18055555555555555,2,2048,4
0.3342013888888889,4,2048,0.25
0.3064236111111111,4,2048,0.5
0.25694444444444442,4,2048,1
0.21006944444444445,4,2048,2
0.18489583333333334,4,2048,4
